View3D 4.0.0 0 1 0 6          
1 1 1 1 1 1
0.000000 0.200044 0.200044 0.199825 0.200044 0.200044
0.200044 0.000000 0.200044 0.200044 0.199825 0.200044
0.200044 0.200044 0.000000 0.200044 0.200044 0.199825
0.199825 0.200044 0.200044 0.000000 0.200044 0.200044
0.200044 0.199825 0.200044 0.200044 0.000000 0.200044
0.200044 0.200044 0.199825 0.200044 0.200044 0.000000
0.500 0.500 0.500 0.500 0.500 0.500
